index,time,SWE_monthly,Seasonal_Year,SWE_1mo,month,Gringorten_p,SWEI,station_id,lon,lat,Elevation_Category
44,1986-02-01,5212.875,1985,5212.875,2,0.6926563916591115,0.5033941031815276,1,-116.138,51.3346,2000_2500m
45,1986-03-01,7134.85449,1985,7134.85449,3,0.7606527651858569,0.7084039025865259,1,-116.138,51.3346,2000_2500m
46,1986-04-01,7693.25,1985,7693.25,4,0.8059836808703537,0.8631906779003945,1,-116.138,51.3346,2000_2500m
47,1986-05-01,8623.49609,1985,8623.49609,5,0.9193109700815958,1.4004518256506755,1,-116.138,51.3346,2000_2500m
48,1986-10-01,955.588257,1986,955.588257,10,0.9193109700815958,1.4004518256506755,1,-116.138,51.3346,2000_2500m
49,1986-11-01,1361.75,1986,1361.75,11,0.6246600181323663,0.31774290398788213,1,-116.138,51.3346,2000_2500m
50,1986-12-01,2582.125,1986,2582.125,12,0.5793291024478695,0.2001774594990572,1,-116.138,51.3346,2000_2500m
51,1987-01-01,3732.125,1986,3732.125,1,0.443336355394379,-0.14251565992903922,1,-116.138,51.3346,2000_2500m
52,1987-02-01,4452.5,1986,4452.5,2,0.42067089755213055,-0.20017745949905705,1,-116.138,51.3346,2000_2500m
53,1987-03-01,5637.375,1986,5637.375,3,0.3980054397098821,-0.2585131786442004,1,-116.138,51.3346,2000_2500m
54,1987-04-01,5275.5,1986,5275.5,4,0.23934723481414327,-0.7084039025865253,1,-116.138,51.3346,2000_2500m
55,1987-05-01,3391.695311,1986,3391.695311,5,0.2846781504986401,-0.5689997626799213,1,-116.138,51.3346,2000_2500m
56,1987-10-01,100.6486815,1987,100.6486815,10,0.058023572076155945,-1.57158363523645,1,-116.138,51.3346,2000_2500m
57,1987-11-01,486.875,1987,486.875,11,0.08068902991840436,-1.4004518256506744,1,-116.138,51.3346,2000_2500m
58,1987-12-01,1708.25,1987,1708.25,12,0.12601994560290117,-1.145408711817518,1,-116.138,51.3346,2000_2500m
