Elevation_Category,Seasonal_Year,SWEI,ENSO
500_1000m,1994,-1.2,0.7
500_1000m,1995,0.9,-0.8
500_1000m,1996,0.7,-0.2
500_1000m,1997,-0.9,1.8
500_1000m,1998,-0.8,-1.4
500_1000m,1999,-0.4,-1.3
500_1000m,2000,-1.8,-0.6
500_1000m,2001,-0.0,-0.1
500_1000m,2002,-0.2,0.6
500_1000m,2003,0.4,0.2
500_1000m,2004,-0.9,0.5
500_1000m,2005,-1.7,-0.5
500_1000m,2006,-0.7,0.3
500_1000m,2007,-0.4,-1.4
500_1000m,2008,0.7,-0.5
500_1000m,2009,0.0,1.0
500_1000m,2010,1.3,-1.2
500_1000m,2011,-1.0,-0.8
500_1000m,2012,0.3,-0.2
500_1000m,2013,1.2,-0.2
500_1000m,2014,-0.0,0.6
500_1000m,2015,-1.0,1.9
500_1000m,2016,-0.5,-0.2
500_1000m,2017,0.8,-0.7
500_1000m,2018,-0.6,0.8
500_1000m,2019,0.2,0.4
500_1000m,2020,-0.0,-1.0
500_1000m,2021,-1.8,-1.0
500_1000m,2022,0.0,-0.4
500_1000m,2023,-0.7,1.4
